CRN,Class Name,Time Start,Time End,Days,Date Start,Date End,Building,Room
10020,ARCH 3010,1:00 pm,4:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,401
18082,ARCH 3300,5:30 pm,7:45 pm,T,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,109
18083,ARCH 3300,5:30 pm,7:45 pm,W,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,109
18518,ARCH 3300,5:00 pm,7:15 pm,M,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,109
10025,ARCH 3410,11:00 am,12:15 pm,MW,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,109
10028,ARCH 3500,11:00 am,12:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,109
10032,ARCH 3700,9:30 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,109
10033,ARCH 3700,11:00 am,12:15 pm,MW,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,118
18138,ARCH 3700,11:00 am,12:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,118
10034,ARCH 3800,9:30 am,10:45 am,MW,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,109
10037,ARCH 4010,1:00 pm,4:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,304B
10038,ARCH 4010,1:00 pm,4:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,304A
10039,ARCH 4010,1:00 pm,4:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,318
18123,ARCH 4010,1:00 pm,4:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,304C
10040,ARCH 4110,12:30 pm,1:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,2550
10041,ARCH 4110,12:30 pm,1:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,2550
15878,ARTS 1110,8:00 am,9:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Biggin Hall,118
15879,ARTS 1110,10:00 am,11:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Biggin Hall,118
15880,ARTS 1110,8:00 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Biggin Hall,118
15881,ARTS 1110,11:00 am,1:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Biggin Hall,118
18187,ARTS 1110,2:00 pm,4:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Biggin Hall,118
15882,ARTS 1210,8:00 am,9:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Biggin Hall,126
15883,ARTS 1210,10:00 am,11:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Biggin Hall,126
15884,ARTS 1220,1:00 pm,2:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Three-Dimensional Arts Bldg,102
15885,ARTS 1230,10:00 am,11:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Biggin Hall,205
15886,ARTS 1230,1:00 pm,2:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Biggin Hall,205
15887,ARTS 1250,5:00 pm,6:30 pm,T,"Aug 17, 2026","Dec 11, 2026",Biggin Hall,5
15888,ARTS 1510,11:00 am,12:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Biggin Hall,5
15889,ARTS 1510,12:30 pm,1:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Biggin Hall,5
15890,ARTS 1510,9:00 am,9:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Biggin Hall,5
